segmentnr	original	analyzed
MBtantrabhidanaHK-4818	śivayoṣā nīlakaṇṭhaḥ kāmeśī ca mayāṃśukau || 71 ||	śivayoṣā nīlakaṇṭhaḥ kāmeśī ca maya aṃśukau 
MBtantrabhidanaHK-4819	ca || 37 ||	ca 
MBtantrabhidanaHK-4820	caḥ puṣkaro halī vāṇī cātmaśaktiḥ sudarśanaḥ |	          
MBtantrabhidanaHK-4821	caturmuṇḍadharo bhaumo mahiṣācārasambinī || 72 ||	catur muṇḍa dharaḥ bhaumaḥ mahiṣa ācāra sambinī 
MBtantrabhidanaHK-4822	"16	ekarūpo ruciḥ kūrmaścāmuṇḍā dīrghabāhukaḥ [dīrghabālukaḥ] |"	ekarūpaḥ ruciḥ kūrmaḥ cāmuṇḍā dīrghabāhukaḥ dīrghabālukaḥ 
MBtantrabhidanaHK-4823	vāmabāhurmūlamāyā caturmūrtisvarūpiṇī || 73 ||	vāma bāhuḥ mūlamāyā catur mūrti svarūpiṇī 
MBtantrabhidanaHK-4824	dayitaśca dvinetraśca lakṣmīṃstritayalocanaḥ |	dayitaḥ ca dvi netraḥ ca lakṣmīn tritaya locanaḥ 
MBtantrabhidanaHK-4825	candanaṃ candramā daivaścetanā vṛściko budhaḥ || 74 ||	candanam candramāḥ daivaḥ cetanā vṛścikaḥ budhaḥ 
MBtantrabhidanaHK-4826	p. 13)	p 
MBtantrabhidanaHK-4827	"1	devī kīṭamukhīcchātmā kaumārī pūrvaphalguṇī |"	               
MBtantrabhidanaHK-4828	anaṅgamekhalā vāyurmedinī ca mūlāvatī [kulāvatī] || 75 ||	anaṅgamekhalā vāyuḥ medinī ca mūlāvatī kulāvatī 
MBtantrabhidanaHK-4829	cha || 25 ||	cha  
MBtantrabhidanaHK-4830	cha-śchandanaṃ suṣumṇā ca paśuḥ paśupatirmatiḥ |	chaḥ chandanam suṣumṇā ca paśuḥ paśupatiḥ matiḥ 
MBtantrabhidanaHK-4831	"4	nirmalaṃ taralaṃ vahnirbhūtamātrā vilāsinī || 76 ||"	nirmalam taralam vahniḥ bhūtamātrā vilāsinī 
MBtantrabhidanaHK-4832	ekamātrā ca [ekanetraśca] vṛṣalī dviśirā vāmakurparaḥ |	eka mātrā ca eka netraḥ ca vṛṣalī dvi śirāḥ vāma kurparaḥ 
MBtantrabhidanaHK-4833	gokarṇā lāṅgalī vāmaḥ kāmakartā sadāśivaḥ || 77 ||	            
MBtantrabhidanaHK-4834	mātā niśācaraḥ pāyurvikṣataḥ sthitiśabdakaḥ || 78 ||	mātā niśācaraḥ pāyuḥ vikṣataḥ sthitiśabdakaḥ   
MBtantrabhidanaHK-4835	ja || 35 ||	ro-0 
MBtantrabhidanaHK-4836	"8	jaḥ śavo vānaraḥ śūlī bhogadā vijayā sthirā |"	          
MBtantrabhidanaHK-4837	laladevo jayo tetā dhātakī sumukhī vibhuḥ || 79 ||	         
MBtantrabhidanaHK-4838	lambodarī smṛtiḥ śākhā suprabhā kartṛkā dharā |	           
MBtantrabhidanaHK-4839	dīrghabāhu rucirhaṃso [rhāsaḥ] nandī tejaḥ surādhipaḥ || 80 ||	            
MBtantrabhidanaHK-4840	"12	javano vegito [vegitā] vāmo mānavākṣaḥ sadātmakaḥ |"	javanaḥ vegitaḥ vegitā vāmaḥ mānavākṣaḥ sat ātmakaḥ 
MBtantrabhidanaHK-4841	hṛnmāruteśvaro vegī cāmodo madavihvalaḥ || 81 ||	           
MBtantrabhidanaHK-4842	jha || 37 ||	ro-0 
MBtantrabhidanaHK-4843	jho jhaṅkārī guho jhañjhāvāyuḥ satyaḥ ṣaḍunnataḥ |	            
MBtantrabhidanaHK-4844	ajeśo drāviṇī nādaḥ pāśī jihvā jalaṃ sthitiḥ || 82 ||	ajeśaḥ drāviṇī nādaḥ pāśī jihvā jalam sthitiḥ 
MBtantrabhidanaHK-4845	"16	virājendro dhanurhastaḥ karkaśo nādajaḥ kujaḥ |"	           
MBtantrabhidanaHK-4846	dīrghabāhurbalo rūpamākanditaḥ sucañcalaḥ || 83 ||	dīrgha bāhuḥ balaḥ rūpa mākanditaḥ su cañcalaḥ 
MBtantrabhidanaHK-4847	durmukho naṣṭa ātmā ca vikaṭā kucamaṇḍalam |	durmukhaḥ naṣṭaḥ ātmā ca vikaṭā kuca maṇḍalam 
MBtantrabhidanaHK-4848	kalahaṃsapriyā vāmā cāṅgūmadhyaparvakaḥ || 84 ||	           
MBtantrabhidanaHK-4849	p. 14)	p 
MBtantrabhidanaHK-4850	"1	dakṣahāsāṭṭahāsau ca pāpā(thā)tmā vyañjanaṃ svaraḥ || 85 ||"	dakṣahāsa aṭṭahāsau ca vyañjanam svaraḥ 
MBtantrabhidanaHK-4851	a || 24 ||	ad 
MBtantrabhidanaHK-4852	ña-kāro bodhinī viśvā kuṇḍalī ma(su)khado viyat |	ñakāraḥ bodhinī viśvā kuṇḍalī ma sukha daḥ viyat 
MBtantrabhidanaHK-4853	kaumārī nāgavijñānī savyāṅgulanakho vakaḥ || 86 ||	         
MBtantrabhidanaHK-4854	"4	sarveśaścūrṇitā buddhiḥ [siddhiḥ] svargātmā [sargātmā] ghargharadhvaniḥ |"	                  
MBtantrabhidanaHK-4855	dharmaikapādau sumukhī virajā candaneśvarī || 87 ||	         
MBtantrabhidanaHK-4856	gāyanaḥ puṣpadhanvā ca rāgātmā [vāgātmā] ca varākṣiṇī || 88 ||	gāyanaḥ puṣpadhanvā ca rāga ātmā vāc ātmā ca vara akṣiṇī 
MBtantrabhidanaHK-4857	ṭa || 28 ||	ṭa 
MBtantrabhidanaHK-4858	ṭa-ṣṭaṅkāraḥ kapālī ca somajo [someśaḥ + somavāḥ] khecaro dhvaniḥ |	              
MBtantrabhidanaHK-4859	"8	mukundo vinadā pṛthvī vaiṣṇavī vāruṇī navaḥ || 89 ||"	mukundaḥ vinadā pṛthvī vaiṣṇavī vāruṇī navaḥ  
MBtantrabhidanaHK-4860	dakṣāṅgakārddhacandrau ca jarā bhūtiḥ punarbhavaḥ |	dakṣa aṅgaka ārddhacandrau ca jarā bhūtiḥ punarbhavaḥ 
MBtantrabhidanaHK-4861	bṛhaspatirdhanuścitrā pramadā [pramodā] vimalā kaṭiḥ || 90 ||	bṛhaspatiḥ dhanuḥ citrā pramadā pramodā vimalā kaṭiḥ 
MBtantrabhidanaHK-4862	rāja(jā)girirmahādhanurghrāṇātmā sumukho marut || 91 ||	rājajāgiriḥ mahā dhanuḥ ghrāṇa ātmā su mukhaḥ marut 
MBtantrabhidanaHK-4863	ṭha || 31 ||	ṭha 
MBtantrabhidanaHK-4864	"12	ṭhaḥ śūnyaṃ mañjarī bījaṃ pāṇinī lāṅgalī kṣayaḥ |"	śūnyam mañjarī bījam pāṇinī lāṅgalī kṣayaḥ 
MBtantrabhidanaHK-4865	vanajo nandano jihvā sumañjughūrṇanaṃ [sunañjo ghūrṇakaḥ] sudhā || 92 ||	               
MBtantrabhidanaHK-4866	vartulaḥ kuṇḍalaṃ vahniramṛtaṃ candramaṇḍalaḥ |	vartulaḥ kuṇḍalam vahniḥ amṛtam candra maṇḍalaḥ 
MBtantrabhidanaHK-4867	dakṣajānūrubhāvau ca devabhakṣo vṛhaddhaniḥ || 93 ||	dakṣa jānu ūru bhāvau ca deva bhakṣaḥ vṛhat haniḥ  /
MBtantrabhidanaHK-4868	"16	ekapādo vibhūtiśca lalāṭaṃ sarvamitrakaḥ |"	eka pādaḥ vibhūtiḥ ca lalāṭam sarva mitrakaḥ 
MBtantrabhidanaHK-4869	vṛṣaghno nalinī viṣṇurmaheśo grāmaṇī śaśī || 94 ||	vṛṣaghnaḥ nalinī viṣṇuḥ maheśaḥ grāmaṇīḥ śaśī 
MBtantrabhidanaHK-4870	ḍa || 24 ||	ḍa 
MBtantrabhidanaHK-4871	ḍaḥ smṛtirdāruko nandirūpiṇī yoginī priyaḥ |	          
MBtantrabhidanaHK-4872	p. 15)	p 
MBtantrabhidanaHK-4873	"1	kaumārī śaṅkarastrāsastrivaktro(kro) nadako dhvaniḥ || 95 ||"	            
MBtantrabhidanaHK-4874	durūho jaṭilo(lī) bhīmā dvijihvaḥ pṛthivī satī |	           
MBtantrabhidanaHK-4875	kolagiriḥ [koragiriḥ] kṣamā śāntirnābhiḥ [kāntirnābhiḥ] svātī ca locanam || 96 ||	kolagiriḥ koragiriḥ kṣamā śāntiḥ nābhiḥ kāntiḥ nābhiḥ svātī ca locanam 
MBtantrabhidanaHK-4876	ḍha || 32 ||	ḍha  /
MBtantrabhidanaHK-4877	"4	ḍho ḍhakkā nirṇayaḥ pūrvo yajñeśaśca nadeśvaraḥ [yajñeśo dhanadeśvaraḥ] |"	ḍho ḍhakkā nirṇayaḥ pūrvaḥ yajñeśaḥ ca nadeśvaraḥ yajñeśaḥ dhanadeśvaraḥ 
MBtantrabhidanaHK-4878	arddhanārīśvarastoyamīśvarī triśikhī navaḥ || 97 ||	arddhanārīśvaraḥ toyam īśvarī triśikhī navaḥ 
MBtantrabhidanaHK-4879	dakṣapadāṅgulermūlaṃ siddhidaṇḍo vināyakaḥ |	             
MBtantrabhidanaHK-4880	prahāsastribhavā ṛddhirnirguṇo dhvaniḥ || 98 ||	prahāsaḥ tri bhavāḥ ṛddhiḥ nirguṇaḥ dhvaniḥ 
MBtantrabhidanaHK-4881	"8	vighneśaḥ pālinī tvak kadhāriṇī kroḍapucchakaḥ |"	         
MBtantrabhidanaHK-4882	elāpuraṃ tvagātmā ca viśākhā śrīrmano ratiḥ || 99 ||	elāpuram tvac ātmā ca viśākhā śrīḥ manaḥ ratiḥ 
MBtantrabhidanaHK-4883	ṇa || 26 ||	ṇa 
MBtantrabhidanaHK-4884	ṇo nirguṇo ratirjñānaṃ jṛ(ja)mbhaṇaḥ pakṣivāhanaḥ |	ṇaḥ nirguṇaḥ ratiḥ jñānam jṛjambhaṇaḥ pakṣi vāhanaḥ 
MBtantrabhidanaHK-4885	jayā śambhurnarakajit niṣkalā yoginī priyaḥ || 100 ||	           
MBtantrabhidanaHK-4886	"12	dvimukhaṃ koṭavī śrotraṃ samṛddhirbodhi(dha)nī matā |"	dvi mukham koṭavī śrotram samṛddhiḥ bodhidhanī matā 
MBtantrabhidanaHK-4887	trinetro mānuṣī vyoma dakṣapādāṅgulerna(rmu)kham |	trinetraḥ mānuṣī vyoma dakṣa pāda aṅguleḥ narmukham 
MBtantrabhidanaHK-4888	rāghavaḥ śaṅkinī vīro nārāyaṇaśca nirṇayaḥ || 101 ||	rāghavaḥ śaṅkinī vīraḥ nārāyaṇaḥ ca nirṇayaḥ 
MBtantrabhidanaHK-4889	ta || 31 ||	ta 
MBtantrabhidanaHK-4890	taḥ pūtanā hariḥ(viḥ) śuddhiḥ śaktī śaktirjaṭī dhvajā |	taḥ pūtanā śuddhiḥ śaktī śaktiḥ jaṭī dhvajā 
MBtantrabhidanaHK-4891	"16	vāmasphigvāmakaṭyau ca kāminī madhyakarṇakaḥ || 102 ||"	vāma sphic vāma kaṭyau ca kāminī madhya karṇakaḥ 
MBtantrabhidanaHK-4892	āṣāḍhī taṇḍatusnaśca [yajñeśo dhanadeśvaraḥ] kāmikā pṛṣṭhapucchakaḥ |	āṣāḍhī taṇḍatusnaḥ ca yajñeśaḥ dhanadeśvaraḥ kāmikā pṛṣṭhapucchakaḥ 
MBtantrabhidanaHK-4893	ratnakaśca(ṇṭhaḥ) śyāmamukhī vārāhī makaro'ruṇaḥ(ṇā) || 103 ||	          
MBtantrabhidanaHK-4894	sugato'rddhamukhī(khā) budha(rdhva)jānuśca kroḍapucchakaḥ [jānuḥ koḍaśca] |	sugata ūrddhamukhī khā budha ṛdhva jānuḥ ca kroḍapucchakaḥ jānuḥ koḍaḥ ca 
MBtantrabhidanaHK-4895	p. 16)	p 
MBtantrabhidanaHK-4896	"1	gandho vimbaṃ(śvā) marucchatraścānurādhā ca saurakaḥ || 104 ||"	gandhaḥ marucchatraḥ ca anurādhā ca saurakaḥ 
MBtantrabhidanaHK-4897	jayantī pulako bhrāntiranaṅgamadanāturā || 105 ||	jayantī pulakaḥ bhrāntiḥ anaṅga madana āturā 
MBtantrabhidanaHK-4898	tha || 27 ||	tha 
MBtantrabhidanaHK-4899	thaḥ sthirāmo mahāgranthirgranthigrāho bhayānākaḥ |	thaḥ sthirāmaḥ mahā granthiḥ granthi grāhaḥ bhayānākaḥ 
MBtantrabhidanaHK-4900	"4	śilī śirasijo daṇḍī bhadrakālī śiloccayaḥ || 106 ||"	         
MBtantrabhidanaHK-4901	kṛṣṇo buddhirvikarmā(rṇā) ca dakṣanāsādhipo'maraḥ |	kṛṣṇaḥ buddhiḥ vikarmā arṇā ca dakṣanāsādhipaḥ umaraḥ 
MBtantrabhidanaHK-4902	varadā bhogadā keśo vāmajānū raso(po)'nalaḥ || 107 ||	           
MBtantrabhidanaHK-4903	lolāpyu(lo)jjayinī(pūḥ) guhyaḥ śaraccandro divākaraḥ || 108 ||	guhyaḥ śarad candraḥ divākaraḥ 
MBtantrabhidanaHK-4904	da || 40 ||	da 
MBtantrabhidanaHK-4905	"8	do'drīśo dhāta(na)kirdhātā dātā dalaṃ kalatrakam |"	dodrīśaḥ dhātanakiḥ dhātā dātā dalam kalatrakam 
MBtantrabhidanaHK-4906	dīnaṃ jñānañca dānañca bhaktirāhavanī dharā || 109 ||	dīnam jñānam ca dānam ca bhaktiḥ āhavanī dharā 
MBtantrabhidanaHK-4907	suṣumṇā yoginī sadyaḥ kuṇḍalaṃ vāmagulphakaḥ |	            
MBtantrabhidanaHK-4908	kātyāyanī śivā durgā laṅghanā nā trikaṇṭakī || 110 ||	           
MBtantrabhidanaHK-4909	"12	svastikaḥ kuṭilā rūpaṃ kṛṣṇaścomā jitendriyaḥ |"	svastikaḥ kuṭilāḥ rūpam kṛṣṇaḥ ca umāḥ jita indriyaḥ 
MBtantrabhidanaHK-4910	dharmahṛdvāmadevaśca bhramirbāhuḥ sucañcalā || 111 ||	dharmahṛt vāmadevaḥ ca bhramiḥ bāhuḥ su cañcalā  /
MBtantrabhidanaHK-4911	haridrā puramadriśca dakṣapāṇistrirekhakaḥ || 112 ||	haridrā puram adriḥ ca dakṣapāṇiḥ trirekhakaḥ 
MBtantrabhidanaHK-4912	dha || 35 ||	dha 
MBtantrabhidanaHK-4913	dho dhanārtho(khyo) ruciḥ sthāṇuḥ śāśvato yoginīpriyaḥ |	            
MBtantrabhidanaHK-4914	"16	mīneśaḥ śaṅkhinī toyaṃ nāgeśo viśvapāvanī || 113 ||"	mīneśaḥ śaṅkhinī toyam nāgeśaḥ viśva pāvanī  /
MBtantrabhidanaHK-4915	dhiṣaṇā dhā(dha)raṇā(ī) cintā(trā) netrayugmaṃ priyo matiḥ |	dhiṣaṇā cintātrā netra yugmam priyaḥ matiḥ 
MBtantrabhidanaHK-4916	pītavāsāstrivarṇā ca dhātā dharmaplavaṅgamaḥ || 114 ||	pītavāsāḥ trivarṇā ca dhātā dharma plavaṅgamaḥ 
MBtantrabhidanaHK-4917	sandarśo mohano lajjā vajratuṇḍādharo(raṃ) dharā |	sandarśaḥ mohanaḥ lajjā dharā 
MBtantrabhidanaHK-4918	"20	vāmapādāṅgalermūlaṃ jyeṣṭhā surapuraṃ bhavaḥ || 115 ||"	vāma pāda aṅgaleḥ mūlam jyeṣṭhā sura puram bhavaḥ  /
MBtantrabhidanaHK-4919	p. 17)	p 
MBtantrabhidanaHK-4920	"1	sparśātmā dīrghajaṅghā ca dhaneśo dhanasañcayaḥ || 116 ||"	sparśātmā dīrghajaṅghā ca dhaneśaḥ dhana sañcayaḥ  /
MBtantrabhidanaHK-4921	na || 36 ||	na 
MBtantrabhidanaHK-4922	no garjinī kṣamā saurirvāruṇī [varuṇā] viśvapāvanī |	naḥ garjinī kṣamā sauriḥ vāruṇī varuṇā viśva pāvanī 
MBtantrabhidanaHK-4923	meṣaśca savitā netraṃ danturo [danturā] nārado'ñjanaḥ || 117 ||	meṣaḥ ca savitā netram danturaḥ danturāḥ nārada uñjanaḥ   
MBtantrabhidanaHK-4924	"4	ūrdhvavāsī [ūrdhvacāmī] dviraṇḍaśca vāmapādāṅgulermu(rna)kham |"	ūrdhvavāsī ūrdhvacāmī dvis aṇḍaḥ ca vāma pāda aṅguleḥ muḥ nakham 
MBtantrabhidanaHK-4925	vainateyaḥ stutirvartma taraṇirbalirāgamaḥ || 118 ||	vainateyaḥ stutiḥ vartma taraṇiḥ baliḥ āgamaḥ 
MBtantrabhidanaHK-4926	vāmano jvālinī dīrgho nirīhaḥ sugatirviyat |	vāmanaḥ jvālinī dīrghaḥ nirīhaḥ sugatiḥ viyat 
MBtantrabhidanaHK-4927	śabdātmā dīrghaghoṇā ca hastināpura-mecakau || 119 ||	śabda ātmā dīrgha ghoṇā ca hastināpura mecakau  /
MBtantrabhidanaHK-4928	"8	girināyaka-nīlau ca śivo'nādirmahāmatiḥ || 120 ||"	girināyaka nīlau ca śivaḥ ūna ādiḥ mahāmatiḥ 
MBtantrabhidanaHK-4929	pa || 38 ||	pa 
MBtantrabhidanaHK-4930	paḥ pū(śū)rapriyatā tīkṣṇā lohitaḥ pañcamo ramā |	paḥ pūśūra priya tā tīkṣṇā lohitaḥ pañcamaḥ ramā 
MBtantrabhidanaHK-4931	guhyakartā nidhiḥ śeṣaḥ kālarātriḥ suvāhitā || 121 ||	            
MBtantrabhidanaHK-4932	tapanaḥ pālanaḥ pātā padmareṇurnirañjanaḥ |	           
MBtantrabhidanaHK-4933	"12	sāvitrī pātinī pānaṃ vīratattvaṃ [vīratantraḥ] dhanurddharaḥ || 122 ||"	            
MBtantrabhidanaHK-4934	dakṣapārśvaśca senānīrmarīciḥ pavanaḥ śaniḥ |	dakṣapārśvaḥ ca senānīḥ marīciḥ pavanaḥ śaniḥ 
MBtantrabhidanaHK-4935	uḍḍīśaṃ [uḍḍīnaṃ] jayinī kumbho'laso rekhā [kāntā'vasaṃ reṣā] ca mohakaḥ || 123 ||	uḍḍīśam uḍḍīnam jayinī kumbholasaḥ rekhā kāntāvasam reṣā ca mohakaḥ  
MBtantrabhidanaHK-4936	mūlā dvitīyamindrāṇī lokākṣī mana ātmakaḥ [manatātmanaḥ(kaḥ)] || 124 ||	mūlā dvitīyam indrāṇī loka akṣī manaḥ ātmakaḥ 
MBtantrabhidanaHK-4937	pha || 34 ||	pha   /
MBtantrabhidanaHK-4938	"16	phaḥ sakhī durgiṇī dhūmrā vāmapārśvo janārdanaḥ |"	phaḥ sakhī durgiṇī dhūmrā vāma pārśvaḥ janārdanaḥ 
MBtantrabhidanaHK-4939	jayā pādaḥ śikhā raudrī phetkāraḥ śākhinīpriyaḥ || 125 ||	            
MBtantrabhidanaHK-4940	umā vihaṅgamaḥ kālaḥ kubjinī priya-pāvakau |	            
MBtantrabhidanaHK-4941	pralayāgnirnīlapādo'kṣaraḥ paśupatiḥ śaśī || 126 ||	            
MBtantrabhidanaHK-4942	p. 18)	p 
MBtantrabhidanaHK-4943	"1	phutkāro yāminī vyaktā [jhañjhā] pāvano mohavarddhanaḥ |"	            
MBtantrabhidanaHK-4944	niṣphalā vāgahaṅkāraḥ prayāgo [niṣphalo rāgaśṛṅgārau prayāṇo] grāmaṇīḥ phalam || 127 ||	niṣphalā vāc ahaṅkāraḥ prayāgaḥ niṣphalaḥ rāga śṛṅgārau prayāṇaḥ grāmaṇīḥ phalam  /
MBtantrabhidanaHK-4945	ba || 44 ||	ro-0 
MBtantrabhidanaHK-4946	bo'vanī bhūdharo mārgo ghargharī locanapriyaḥ |	         
MBtantrabhidanaHK-4947	"4	pracetāḥ kalasaḥ pakṣī chagalaṇḍaḥ kapardinī || 128 ||"	        
MBtantrabhidanaHK-4948	pṛṣṭhavaṃśo'bhayā mātā śikhivāho yugandharaḥ |	pṛṣṭhavaṃśa ubhayā mātā śikhivāhaḥ yugandharaḥ 
MBtantrabhidanaHK-4949	mu(su)khaindurvalī ghaṇṭā yoddhā trilocanapriyaḥ || 129 ||	            
MBtantrabhidanaHK-4950	kledinī tāpinī bhūmiḥ sugamindro [sugandhiśca] baliḥ priyaḥ |	kledinī tāpinī bhūmiḥ sugamindraḥ sugandhiḥ ca baliḥ priyaḥ 
MBtantrabhidanaHK-4951	"8	surabhirmukha-viṣṇū ca saṃhāro vasudhādhipaḥ || 130 ||"	surabhiḥ mukha viṣṇū ca saṃhāraḥ vasudhādhipaḥ 
MBtantrabhidanaHK-4952	ṣaṣṭhī puraṃ ca peṭā ca modako gaganaṃ prati |	ṣaṣṭhī puram ca peṭā ca modakaḥ gaganam prati 
MBtantrabhidanaHK-4953	pūrvāṣāḍhā-madhyaliṅge śaniḥ kumbha-tṛtīyakau || 131 ||	pūrvāṣāḍhā madhya liṅge śaniḥ kumbha tṛtīyakau  /
MBtantrabhidanaHK-4954	bha || 33 ||	bha 
MBtantrabhidanaHK-4955	bhaḥ klinnā bhramaro bhīmo viśvamūrtirniśāhvayaḥ [bhayam + tavaḥ] |	bhaḥ klinnā bhramaraḥ bhīmaḥ viśvamūrtiḥ niśāhvayaḥ bhayam tavaḥ 
MBtantrabhidanaHK-4956	"12	dviraṇḍo bhūṣaṇaṃ mūlaṃyajñasūtrasya vācakaḥ || 132 ||"	dvis aṇḍaḥ bhūṣaṇam mūlam yajñasūtrasya vācakaḥ 
MBtantrabhidanaHK-4957	nakṣatraṃ bhramaṇā dīptirva(rbhū)yo bhūmiḥ payo nabhaḥ |	nakṣatram bhramaṇāḥ dīptiḥ varbhūyaḥ bhūmiḥ payaḥ nabhaḥ 
MBtantrabhidanaHK-4958	nābhirbhadraṃ mahābāhurviśvamūrtirvibhā(tu)ṇḍakaḥ [vimūrtikaḥ] || 133 ||	nābhiḥ bhadram mahā bāhuḥ viśvamūrtiḥ vibhātuṇḍakaḥ vimūrtikaḥ 
MBtantrabhidanaHK-4959	prāṇātmā tāpinī vajrā [rudrā] viśvarūpī ca candrikā |	             
MBtantrabhidanaHK-4960	"16	bhīmasenaḥ sudhāsenaḥ su(mu)khaṃ māyā puraṃharaḥ || 134 ||"	bhīmasenaḥ sudhāsenaḥ sumukham māyā puraṃharaḥ  /
MBtantrabhidanaHK-4961	ma || 38 ||	ro-0 
MBtantrabhidanaHK-4962	maḥ kālī kleśitaḥ kālo mahākālo mahāntakaḥ |	kālī kleśitaḥ kālaḥ mahākālaḥ mahāntakaḥ 
MBtantrabhidanaHK-4963	vaikuṇṭho vasudhā [vastudā] candro raviḥ puruṣavācakaḥ || 135 ||	             
MBtantrabhidanaHK-4964	kālabhadro jayā medhā viśvadā dīptasaṃjñakaḥ |	            
MBtantrabhidanaHK-4965	p. 19)	p 
MBtantrabhidanaHK-4966	"1	jatharañca bhramā mānaṃ lakṣmīrmātogra-bandhane || 136 ||"	jatharan ca bhramā mānam lakṣmīḥ mātā ugrabandhane 
MBtantrabhidanaHK-4967	viṣaṃ śivo mahāvīraḥ śaśiputro [śaśiprabhā] janeśvaraḥ |	viṣam śivaḥ mahāvīraḥ śaśiputraḥ śaśiprabhā janeśvaraḥ 
MBtantrabhidanaHK-4968	pramattaḥ priyasū rudraḥ sarvāṅgaṃ vahnimaṇḍalam || 137 ||	pramattaḥ priyasūḥ rudraḥ sarva aṅgam vahni maṇḍalam 
MBtantrabhidanaHK-4969	"4	mātaṅgamālinī binduḥ śravaṇābhaṃ ratho [makho] viyat || 138 ||"	mātaṅga mālinī binduḥ śravaṇa ābham rathaḥ makhaḥ viyat   
MBtantrabhidanaHK-4970	ya || 50 ||	ya 
MBtantrabhidanaHK-4971	yo vāṇī vasudhā vāyurvikṛtiḥ puruṣottamaḥ |	yaḥ vāṇī vasudhā vāyuḥ vikṛtiḥ puruṣottamaḥ 
MBtantrabhidanaHK-4972	yugāntaḥ [yugādhaḥ] śvasanaḥ śīghraṃ dhūmrārciḥ prāṇisevakaḥ || 139 ||	             
MBtantrabhidanaHK-4973	śaṅkhā bhramo jaṭī lolā vāyuvegī yaśaskaraḥ |	          
MBtantrabhidanaHK-4974	"8	saṅkarṣaṇaḥ kṣapā bālo hṛdayaṃ kapilā prabhā || 140 ||"	saṅkarṣaṇaḥ kṣapā bālaḥ hṛdayam kapilā prabhā 
MBtantrabhidanaHK-4975	āgneyo vyāpakastyāgo homo yānaṃ pramā sukham |	āgneyaḥ vyāpakaḥ tyāgaḥ homaḥ yānam pramā sukham 
MBtantrabhidanaHK-4976	caṇḍaḥ sarveśvarī dhūmaścāmuṇḍā sumukheśvarī || 141 ||	caṇḍaḥ sarveśvarī dhūmaḥ cāmuṇḍā sumukhā īśvarī 
MBtantrabhidanaHK-4977	tva(ve)gātmā malayo mātā haṃsinī bhṛṅganāyakaḥ |	tu avega ātmā malayaḥ mātā haṃsinī bhṛṅganāyakaḥ 
MBtantrabhidanaHK-4978	"12	cetanā śoṣako mīno dhaniṣṭhā'naṅgavedinī || 142 ||"	            
MBtantrabhidanaHK-4979	meṣaḥ [meṣṭhaḥ + seṣṭaḥ] somaḥ paṅktināmā pāpahā prāṇasaṃjñakaḥ || 143 ||	meṣaḥ meṣṭhaḥ seṣṭaḥ somaḥ paṅkti nāmā pāpa hā prāṇa saṃjñakaḥ   
MBtantrabhidanaHK-4980	ra || 44 ||	ra 
MBtantrabhidanaHK-4981	ro raktaḥ krodhinī rephaḥ pāvakastai(stvau)jaso mataḥ |	raḥ raktaḥ krodhinī rephaḥ pāvakaḥ taiḥ tu aujasaḥ mataḥ 
MBtantrabhidanaHK-4982	prakāśo darśano dīpo vata kṛṣṇaḥ [raktakṛṣṇaḥ + rajastṛṣṇā] paraṃ balī || 144 ||	prakāśaḥ darśanaḥ dīpaḥ vata kṛṣṇaḥ rakta kṛṣṇaḥ rajaḥ tṛṣṇā param balī   /
MBtantrabhidanaHK-4983	"16	bhujaṅgeśo matiḥ sūryo dhāturaktaḥ [dhāturājaḥ] prakāśakaḥ |"	            
MBtantrabhidanaHK-4984	vyāpako revatī dāma krauñcāṃśau [dānaṃ kukṣyaṃśau + dāso dakṣāṃśaḥ] vahnimaṇḍalam || 145 ||	vyāpakaḥ revatī dāma krauñca aṃśau dānam kukṣi aṃśau dāsaḥ dakṣa aṃśaḥ vahni maṇḍalam   
MBtantrabhidanaHK-4985	ugrarekhā sthūladaṇḍo vedakaṇṭhaka(pa)lā [vedakaścapalā] purā |	ugrarekhā sthūladaṇḍaḥ veda kaṇṭha kapalā vedakaḥ capalā purā 
MBtantrabhidanaHK-4986	prakṛtiḥ sugato [sugaṇo + sugalo] brahmaśabdaśca gāyako dhanam || 146 ||	prakṛtiḥ sugataḥ su gaṇaḥ su galaḥ brahma śabdaḥ ca gāyakaḥ dhanam 
MBtantrabhidanaHK-4987	p. 20)	p 
MBtantrabhidanaHK-4988	"1	śrīkaṇṭha uṣmā hṛdayaṃ muṇḍī tripurasundarī |"	             
MBtantrabhidanaHK-4989	sabinduryonijo jvālā śrīśailo viśvatomukhī || 147 ||	sa binduḥ yoni jaḥ jvālā śrīśailaḥ viśvatomukhī 
MBtantrabhidanaHK-4990	la || 35 ||	ro 
MBtantrabhidanaHK-4991	la-ścandraḥ pūtanā pṛthvī mādhavaḥ [mādhavī] śakravācakaḥ |	                     
MBtantrabhidanaHK-4992	"4	balānujaḥ pinākīśo vyāpako māṃsasaṃjñakaḥ || 148 ||"	          
MBtantrabhidanaHK-4993	khaḍgī nādo'mṛtaṃ [mṛḍaṃ] devī lavaṇaṃ [maraṇaṃ] vāruṇī patiḥ |	khaḍgī nādaḥ umṛtam mṛḍam devī lavaṇam maraṇam vāruṇī patiḥ 
MBtantrabhidanaHK-4994	śikhā vā&ī kriyā mātāa bhāminī kāminīpriyā || 149 ||	śikhā vāī kriyā mātā a bhāminī kāminīpriyā   
